forecast_id,item_id,forecast_month,forecast_qty,forecast_model
FC-0101,ITM-1001,2026-01,110,Base
FC-0102,ITM-1001,2026-02,110,Base
FC-0103,ITM-1001,2026-03,110,Base
FC-0104,ITM-1001,2026-04,110,Base
FC-0201,ITM-1003,2026-01,45,Base
FC-0202,ITM-1003,2026-02,45,Base
FC-0203,ITM-1003,2026-03,45,Base
FC-0204,ITM-1003,2026-04,45,Base
FC-0301,ITM-1012,2026-01,80,Base
FC-0302,ITM-1012,2026-02,80,Base
FC-0303,ITM-1012,2026-03,60,Base
FC-0304,ITM-1012,2026-04,60,Base
FC-0401,ITM-1013,2026-01,60,Base
FC-0402,ITM-1013,2026-02,60,Base
FC-0403,ITM-1013,2026-03,60,Base
FC-0404,ITM-1013,2026-04,60,Base
FC-0501,ITM-1016,2026-01,150,Base
FC-0502,ITM-1016,2026-02,150,Base
FC-0503,ITM-1016,2026-03,150,Base
FC-0504,ITM-1016,2026-04,150,Base
FC-0601,ITM-X123,2026-01,5,Base
FC-0602,ITM-X123,2026-02,5,Base
FC-0603,ITM-X123,2026-03,5,Base
FC-0604,ITM-X123,2026-04,5,Base
