receipt_id,purchase_order_id,item_id,vendor_id,order_date,confirmed_receipt_date,actual_receipt_date,ordered_qty,received_qty
RCP-0001,PO-0001,ITM-1001,VEN-100,2026-01-08,2026-01-29,2026-01-28,100,100
RCP-0002,PO-0002,ITM-1001,VEN-100,2026-01-29,2026-02-19,2026-02-20,100,100
RCP-0003,PO-0003,ITM-1001,VEN-100,2026-02-19,2026-03-12,2026-03-12,100,100
RCP-0004,PO-0004,ITM-1001,VEN-100,2026-03-12,2026-04-02,2026-04-04,100,100
RCP-0005,PO-0005,ITM-1001,VEN-100,2026-04-02,2026-04-23,2026-04-22,100,100
RCP-0006,PO-0006,ITM-1001,VEN-100,2026-04-23,2026-05-14,2026-05-14,100,100
RCP-0007,PO-0007,ITM-1002,VEN-100,2026-01-12,2026-02-02,2026-02-02,100,100
RCP-0008,PO-0008,ITM-1002,VEN-100,2026-02-02,2026-02-23,2026-02-22,100,100
RCP-0009,PO-0009,ITM-1002,VEN-100,2026-02-23,2026-03-16,2026-03-17,100,100
RCP-0010,PO-0010,ITM-1002,VEN-100,2026-03-16,2026-04-06,2026-04-06,100,100
RCP-0011,PO-0011,ITM-1003,VEN-101,2026-01-05,2026-01-30,2026-01-29,50,50
RCP-0012,PO-0012,ITM-1003,VEN-101,2026-01-26,2026-02-20,2026-02-21,50,50
RCP-0013,PO-0013,ITM-1003,VEN-101,2026-02-16,2026-03-13,2026-03-13,50,50
RCP-0014,PO-0014,ITM-1003,VEN-101,2026-03-09,2026-04-03,2026-04-05,50,50
RCP-0015,PO-0015,ITM-1003,VEN-101,2026-03-30,2026-04-24,2026-04-24,50,50
RCP-0016,PO-0016,ITM-X123,VEN-045,2026-01-06,2026-02-20,2026-03-15,25,25
RCP-0017,PO-0017,ITM-X123,VEN-045,2026-01-27,2026-03-13,2026-04-09,25,25
RCP-0018,PO-0018,ITM-X123,VEN-045,2026-02-17,2026-04-03,2026-04-23,25,25
RCP-0019,PO-0019,ITM-X123,VEN-045,2026-03-10,2026-04-24,2026-05-23,25,25
RCP-0020,PO-0020,ITM-X123,VEN-045,2026-03-31,2026-05-15,2026-06-09,25,25
RCP-0021,PO-0021,ITM-X123,VEN-045,2026-04-21,2026-06-05,2026-07-06,25,25
RCP-0022,PO-0022,ITM-X123,VEN-045,2026-05-12,2026-06-26,2026-07-14,25,25
RCP-0023,PO-0023,ITM-X123,VEN-045,2026-06-02,2026-07-17,2026-08-12,25,25
RCP-0024,PO-0024,ITM-1006,VEN-103,2026-01-15,2026-02-22,2026-02-22,10,10
RCP-0025,PO-0025,ITM-1006,VEN-103,2026-02-05,2026-03-15,2026-03-18,10,10
RCP-0026,PO-0026,ITM-1006,VEN-103,2026-02-26,2026-04-05,2026-04-03,10,10
RCP-0027,PO-0027,ITM-1006,VEN-103,2026-03-19,2026-04-26,2026-04-28,10,10
RCP-0028,PO-0028,ITM-1011,VEN-101,2026-01-19,2026-02-16,2026-02-15,25,25
RCP-0029,PO-0029,ITM-1011,VEN-101,2026-02-09,2026-03-09,2026-03-10,25,25
RCP-0030,PO-0030,ITM-1011,VEN-101,2026-03-02,2026-03-30,2026-03-30,25,25
RCP-0031,PO-0031,ITM-1013,VEN-105,2026-01-09,2026-02-23,2026-02-22,5,5
RCP-0032,PO-0032,ITM-1013,VEN-105,2026-01-30,2026-03-16,2026-03-18,5,5
RCP-0033,PO-0033,ITM-1013,VEN-105,2026-02-20,2026-04-06,2026-04-11,5,5
RCP-0034,PO-0034,ITM-1013,VEN-105,2026-03-13,2026-04-27,2026-04-27,5,5
RCP-0035,PO-0035,ITM-1013,VEN-105,2026-04-03,2026-05-18,2026-05-22,5,5
RCP-0036,PO-0036,ITM-1014,VEN-106,2026-01-14,2026-03-15,2026-03-13,50,50
RCP-0037,PO-0037,ITM-1014,VEN-106,2026-02-04,2026-04-05,2026-04-07,50,50
RCP-0038,PO-0038,ITM-1014,VEN-106,2026-02-25,2026-04-26,2026-04-26,50,50
RCP-0039,PO-0039,ITM-1015,VEN-107,2026-01-07,2026-07-04,2026-07-01,50,50
RCP-0040,PO-0040,ITM-1015,VEN-107,2026-01-28,2026-07-25,2026-07-29,50,50
RCP-0041,PO-0041,ITM-1015,VEN-107,2026-02-18,2026-08-15,2026-08-15,50,50
RCP-0042,PO-0042,ITM-1024,VEN-100,2026-01-05,2026-01-26,2026-01-25,50,50
RCP-0043,PO-0043,ITM-1024,VEN-100,2026-02-04,2026-02-25,2026-02-25,50,50
RCP-0044,PO-0044,ITM-1024,VEN-100,2026-03-06,2026-03-27,2026-03-26,50,50
RCP-0045,PO-0045,ITM-1024,VEN-100,2026-04-05,2026-05-10,2026-05-09,50,50
RCP-0046,PO-0046,ITM-1024,VEN-100,2026-05-05,2026-06-09,2026-06-10,50,50
RCP-0047,PO-0047,ITM-1024,VEN-100,2026-06-04,2026-07-09,2026-07-09,50,50
