order_line_id,sales_order_id,item_id,customer_id,site_id,order_date,requested_ship_date,actual_ship_date,qty
SOL-0001,SO-0001,ITM-1001,CUS-002,SITE-01,2026-01-05,2026-01-20,2026-01-20,60
SOL-0002,SO-0002,ITM-1001,CUS-003,SITE-01,2026-01-06,2026-01-20,2026-01-20,40
SOL-0003,SO-0003,ITM-1001,CUS-004,SITE-01,2026-02-05,2026-02-20,2026-02-20,70
SOL-0004,SO-0004,ITM-1001,CUS-001,SITE-01,2026-02-06,2026-02-20,2026-02-20,50
SOL-0005,SO-0005,ITM-1001,CUS-002,SITE-01,2026-03-05,2026-03-20,2026-03-20,55
SOL-0006,SO-0006,ITM-1001,CUS-003,SITE-01,2026-03-06,2026-03-20,2026-03-20,55
SOL-0007,SO-0007,ITM-1001,CUS-004,SITE-01,2026-04-05,2026-04-20,2026-04-20,60
SOL-0008,SO-0008,ITM-1001,CUS-001,SITE-01,2026-04-06,2026-04-20,2026-04-20,45
SOL-0009,SO-0009,ITM-1001,CUS-002,SITE-01,2026-05-05,2026-05-20,2026-05-20,65
SOL-0010,SO-0010,ITM-1001,CUS-003,SITE-01,2026-05-06,2026-05-20,2026-05-20,50
SOL-0011,SO-0011,ITM-1001,CUS-004,SITE-01,2026-06-05,2026-06-20,2026-06-20,50
SOL-0012,SO-0012,ITM-1001,CUS-001,SITE-01,2026-06-06,2026-06-20,2026-06-20,45
SOL-0013,SO-0013,ITM-1003,CUS-002,SITE-01,2026-01-05,2026-01-20,2026-01-23,20
SOL-0014,SO-0014,ITM-1003,CUS-003,SITE-02,2026-01-06,2026-01-20,2026-01-20,20
SOL-0015,SO-0015,ITM-1003,CUS-004,SITE-01,2026-02-05,2026-02-20,2026-02-20,25
SOL-0016,SO-0016,ITM-1003,CUS-001,SITE-02,2026-02-06,2026-02-20,2026-02-20,20
SOL-0017,SO-0017,ITM-1003,CUS-002,SITE-01,2026-03-05,2026-03-20,2026-03-20,18
SOL-0018,SO-0018,ITM-1003,CUS-003,SITE-02,2026-03-06,2026-03-20,2026-03-20,20
SOL-0019,SO-0019,ITM-1003,CUS-004,SITE-01,2026-04-05,2026-04-20,2026-04-20,25
SOL-0020,SO-0020,ITM-1003,CUS-001,SITE-02,2026-04-06,2026-04-20,2026-04-20,25
SOL-0021,SO-0021,ITM-1003,CUS-002,SITE-01,2026-05-05,2026-05-20,2026-05-20,22
SOL-0022,SO-0022,ITM-1003,CUS-003,SITE-02,2026-05-06,2026-05-20,2026-05-20,20
SOL-0023,SO-0023,ITM-1003,CUS-004,SITE-01,2026-06-05,2026-06-20,2026-06-20,24
SOL-0024,SO-0024,ITM-1003,CUS-001,SITE-02,2026-06-06,2026-06-20,2026-06-20,20
SOL-0025,SO-0025,ITM-1013,CUS-002,SITE-01,2026-01-05,2026-01-20,2026-01-20,10
SOL-0026,SO-0026,ITM-1013,CUS-003,SITE-01,2026-01-06,2026-01-20,2026-01-25,10
SOL-0027,SO-0027,ITM-1013,CUS-004,SITE-01,2026-02-05,2026-02-20,2026-02-26,15
SOL-0028,SO-0028,ITM-1013,CUS-001,SITE-01,2026-02-06,2026-02-20,2026-02-20,10
SOL-0029,SO-0029,ITM-1013,CUS-002,SITE-01,2026-03-05,2026-03-20,2026-03-20,8
SOL-0030,SO-0030,ITM-1013,CUS-003,SITE-01,2026-03-06,2026-03-20,2026-03-27,10
SOL-0031,SO-0031,ITM-1013,CUS-004,SITE-01,2026-04-05,2026-04-20,2026-04-24,12
SOL-0032,SO-0032,ITM-1013,CUS-001,SITE-01,2026-04-06,2026-04-20,2026-04-20,10
SOL-0033,SO-0033,ITM-1013,CUS-002,SITE-01,2026-05-05,2026-05-20,2026-05-20,20
SOL-0034,SO-0034,ITM-1013,CUS-003,SITE-01,2026-05-06,2026-05-20,2026-05-26,10
SOL-0035,SO-0035,ITM-1013,CUS-004,SITE-01,2026-06-05,2026-06-20,2026-06-25,14
SOL-0036,SO-0036,ITM-1013,CUS-001,SITE-01,2026-06-06,2026-06-20,2026-06-20,10
SOL-0037,SO-0037,ITM-1016,CUS-002,SITE-01,2026-01-05,2026-01-20,2026-01-20,10
SOL-0038,SO-0038,ITM-1016,CUS-003,SITE-01,2026-02-05,2026-02-20,2026-02-20,150
SOL-0039,SO-0039,ITM-1016,CUS-004,SITE-01,2026-02-06,2026-02-20,2026-02-20,100
SOL-0040,SO-0040,ITM-1016,CUS-001,SITE-01,2026-03-05,2026-03-20,2026-03-20,30
SOL-0041,SO-0041,ITM-1016,CUS-002,SITE-01,2026-04-05,2026-04-20,2026-04-20,250
SOL-0042,SO-0042,ITM-1016,CUS-003,SITE-01,2026-04-06,2026-04-20,2026-04-20,150
SOL-0043,SO-0043,ITM-1016,CUS-004,SITE-01,2026-05-05,2026-05-20,2026-05-20,20
SOL-0044,SO-0044,ITM-1016,CUS-001,SITE-01,2026-06-05,2026-06-20,2026-06-20,200
SOL-0045,SO-0045,ITM-1016,CUS-002,SITE-01,2026-06-06,2026-06-20,2026-06-20,100
SOL-0046,SO-0046,ITM-1020,CUS-003,SITE-01,2026-01-05,2026-01-20,2026-01-20,40
SOL-0047,SO-0047,ITM-1020,CUS-004,SITE-01,2026-02-05,2026-02-20,2026-02-20,40
SOL-0048,SO-0048,ITM-1020,CUS-001,SITE-01,2026-03-05,2026-03-20,2026-03-20,40
SOL-0049,SO-0049,ITM-1020,CUS-002,SITE-01,2026-04-05,2026-04-20,2026-04-20,40
SOL-0050,SO-0050,ITM-1020,CUS-003,SITE-01,2026-05-05,2026-05-20,2026-05-20,40
SOL-0051,SO-0051,ITM-1020,CUS-004,SITE-01,2026-06-05,2026-06-20,2026-06-20,40
SOL-0052,SO-0052,ITM-X123,CUS-001,SITE-01,2026-01-05,2026-01-20,2026-01-20,2
SOL-0053,SO-0053,ITM-X123,CUS-002,SITE-01,2026-01-06,2026-01-20,2026-01-20,2
SOL-0054,SO-0054,ITM-X123,CUS-003,SITE-01,2026-02-05,2026-02-20,2026-02-20,3
SOL-0055,SO-0055,ITM-X123,CUS-004,SITE-01,2026-02-06,2026-02-20,2026-02-22,2
SOL-0056,SO-0056,ITM-X123,CUS-001,SITE-01,2026-03-05,2026-03-20,2026-03-20,2
SOL-0057,SO-0057,ITM-X123,CUS-002,SITE-01,2026-03-06,2026-03-20,2026-03-20,1
SOL-0058,SO-0058,ITM-X123,CUS-003,SITE-01,2026-04-05,2026-04-20,2026-05-08,3
SOL-0059,SO-0059,ITM-X123,CUS-004,SITE-01,2026-04-06,2026-04-20,2026-05-15,3
SOL-0060,SO-0060,ITM-X123,CUS-001,SITE-01,2026-05-05,2026-05-20,2026-06-19,2
SOL-0061,SO-0061,ITM-X123,CUS-002,SITE-01,2026-05-06,2026-05-20,2026-06-11,2
SOL-0062,SO-0062,ITM-X123,CUS-003,SITE-01,2026-06-05,2026-06-20,2026-07-16,3
SOL-0063,SO-0063,ITM-X123,CUS-004,SITE-01,2026-06-06,2026-06-20,2026-06-20,2
